t_s,dtw_relaxed,dtw_open,dtw_close,env,fsm,gripper,fired
9.207,566.97,964.03,2138.81,33.1,PULSE,open,
9.252,604.44,939.87,2115.19,33.0,PULSE,open,
9.299,656.51,910.10,2092.32,33.6,PULSE,open,
9.352,694.30,880.85,2073.80,31.5,PULSE,open,
9.392,679.08,856.47,2065.96,28.9,PULSE,open,
9.439,699.99,846.33,2074.73,23.4,REFRACTORY,open,open
9.489,684.00,842.51,2089.74,18.3,REFRACTORY,open,
9.529,694.26,826.40,2085.76,17.0,REFRACTORY,open,
9.582,713.84,859.16,2083.65,29.2,REFRACTORY,open,
9.626,952.40,1115.28,2272.70,254.7,REFRACTORY,open,
9.677,776.69,1168.62,1843.19,120.7,REFRACTORY,open,
9.720,1011.63,1234.69,1647.78,51.4,REFRACTORY,open,
9.766,932.12,1263.92,1617.17,63.8,REFRACTORY,open,
9.815,1201.69,1334.49,1634.67,100.0,REFRACTORY,open,
9.860,1105.94,1407.68,1704.45,120.6,REFRACTORY,open,
9.906,1149.54,1461.41,1896.84,115.6,REFRACTORY,open,
9.954,1181.39,1516.98,1919.69,96.3,REFRACTORY,open,
10.005,1110.55,1376.89,1915.09,68.6,REFRACTORY,open,
10.048,1193.84,1117.63,1854.46,47.2,REFRACTORY,open,
10.095,971.90,1033.84,1858.25,22.6,REFRACTORY,open,
10.143,1115.14,1047.93,1884.41,7.8,REFRACTORY,open,
10.187,858.91,1104.26,1946.68,7.5,REFRACTORY,open,
10.235,1018.80,1077.50,2023.41,12.7,REFRACTORY,open,
10.279,799.30,1075.00,2079.45,17.1,REFRACTORY,open,
10.331,937.99,1064.83,2079.08,21.3,REFRACTORY,open,
10.373,794.36,1055.12,2068.81,18.1,REFRACTORY,open,
10.421,819.00,964.11,2069.39,18.4,REFRACTORY,open,
10.468,800.33,924.14,2043.14,15.7,REFRACTORY,open,
10.530,815.86,970.06,1994.60,13.8,REFRACTORY,open,
10.577,703.79,931.62,1966.25,13.4,REFRACTORY,open,
10.622,722.65,827.90,1937.43,13.7,REFRACTORY,open,
10.686,590.46,822.36,1813.98,14.3,REFRACTORY,open,
10.726,682.13,764.80,1838.15,14.6,REFRACTORY,open,
10.763,726.10,711.28,1872.23,12.6,REFRACTORY,open,
10.811,524.82,688.08,1837.05,11.2,REFRACTORY,open,
10.857,726.31,726.60,1759.54,10.5,REFRACTORY,open,
10.954,723.85,696.19,1635.11,13.1,REFRACTORY,open,
10.992,545.47,650.99,1614.93,10.5,REFRACTORY,open,
11.027,571.89,560.74,1683.52,10.6,REFRACTORY,open,
11.077,704.94,584.83,1682.34,13.4,REFRACTORY,open,
11.130,534.82,527.46,1609.97,16.6,REFRACTORY,open,
11.166,681.98,578.10,1585.66,18.8,IDLE,open,
11.202,485.53,593.05,1432.89,22.3,IDLE,open,
11.261,663.84,588.11,1470.95,22.3,IDLE,open,
11.301,470.10,556.28,1401.19,23.2,IDLE,open,
11.355,626.28,538.49,1374.69,24.1,IDLE,open,
11.390,530.57,480.56,1415.50,25.0,IDLE,open,
11.448,577.41,519.59,1360.30,23.0,IDLE,open,
11.500,488.63,517.33,1340.29,21.1,IDLE,open,
11.535,464.29,414.03,1436.32,22.2,IDLE,open,
11.589,587.95,1438.42,2493.95,23.2,IDLE,open,
11.624,411.86,1388.55,2524.37,23.1,IDLE,open,
11.677,629.40,1216.29,2334.39,26.6,IDLE,open,
11.728,412.74,1319.35,2385.24,26.7,IDLE,open,
11.765,614.78,1476.68,2552.24,25.3,IDLE,open,
11.822,409.79,1463.64,2917.25,25.7,IDLE,open,
11.873,635.00,1371.80,2817.89,24.5,IDLE,open,
11.908,492.83,1294.56,2736.58,23.1,IDLE,open,
