t_s,dtw_relaxed,dtw_close,env,fsm,gripper,fired
3.509,945.77,2352.12,52.2,REFRACTORY,open,
3.556,953.08,2346.74,50.2,REFRACTORY,open,
3.603,987.30,2322.38,44.7,REFRACTORY,open,
3.648,974.69,2325.00,44.0,REFRACTORY,open,
3.696,937.40,2341.42,41.3,REFRACTORY,open,
3.742,984.57,2410.11,39.4,REFRACTORY,open,
3.788,832.91,2444.62,38.1,REFRACTORY,open,
3.833,997.25,2504.93,38.3,REFRACTORY,open,
3.883,816.26,2512.35,36.4,REFRACTORY,open,
3.945,1005.69,2573.29,35.8,REFRACTORY,open,
4.005,1059.67,2606.40,34.6,REFRACTORY,open,
4.047,1008.12,2640.43,32.8,REFRACTORY,open,
4.088,973.98,2664.02,31.9,REFRACTORY,open,
4.150,933.77,2734.81,29.5,REFRACTORY,open,
4.193,836.89,2764.71,26.5,REFRACTORY,open,
4.240,815.31,2811.27,23.4,REFRACTORY,open,
4.287,770.65,2834.60,23.6,REFRACTORY,open,
4.334,769.38,2836.08,22.9,REFRACTORY,open,
4.382,716.95,2898.71,21.3,REFRACTORY,open,
4.430,684.06,2920.20,18.2,REFRACTORY,open,
4.478,648.14,2933.03,18.7,REFRACTORY,open,
4.522,627.50,2945.60,18.4,IDLE,open,
4.586,580.96,3001.83,19.3,IDLE,open,
4.615,565.51,3011.43,18.3,IDLE,open,
4.676,528.50,3028.98,18.9,IDLE,open,
4.715,503.65,3041.50,18.4,IDLE,open,
4.771,469.86,3030.43,24.4,IDLE,open,
4.818,433.08,3025.85,25.9,IDLE,open,
4.864,416.90,3007.08,27.2,IDLE,open,
4.915,379.81,2995.50,26.5,IDLE,open,
4.945,364.74,2980.39,28.3,IDLE,open,
5.005,332.08,2965.03,22.8,IDLE,open,
5.044,330.13,2947.46,19.6,IDLE,open,
5.098,278.77,2946.62,16.2,IDLE,open,
5.139,262.58,2939.72,14.5,IDLE,open,
5.179,247.40,2940.54,13.2,IDLE,open,
5.240,218.61,2944.94,11.3,IDLE,open,
5.281,214.06,2941.45,11.4,IDLE,open,
5.321,196.45,2937.13,11.9,IDLE,open,
5.380,197.54,2932.59,8.6,IDLE,open,
5.427,189.36,2930.18,11.3,IDLE,open,
5.467,179.30,2932.65,11.9,IDLE,open,
5.506,171.83,2933.35,11.1,IDLE,open,
5.571,180.68,2921.33,10.9,IDLE,open,
5.602,174.53,2903.19,10.3,IDLE,open,
5.657,176.87,2880.74,11.9,IDLE,open,
5.697,181.42,2845.78,13.6,IDLE,open,
5.750,191.19,2808.57,13.7,IDLE,open,
5.791,198.78,2809.64,15.6,IDLE,open,
5.835,230.30,2793.22,8.8,IDLE,open,
5.897,238.81,2764.59,8.5,IDLE,open,
5.931,259.25,2757.06,8.6,IDLE,open,
5.987,283.14,2750.71,10.0,IDLE,open,
6.035,316.76,2736.22,8.1,IDLE,open,
6.081,358.96,2729.05,10.3,IDLE,open,
6.125,408.96,2727.31,6.2,IDLE,open,
6.175,438.49,2695.88,12.5,IDLE,open,
6.227,466.18,2577.04,22.3,IDLE,open,
6.258,514.17,2505.21,33.3,IDLE,open,
6.304,529.28,2460.30,42.5,PULSE,open,
6.358,567.89,2449.58,48.7,PULSE,open,
6.406,600.63,2399.60,45.6,PULSE,open,
6.455,609.41,2376.25,42.3,PULSE,open,
6.496,601.71,2367.73,40.3,PULSE,open,
6.541,606.44,2356.65,38.0,PULSE,open,
6.592,592.92,2355.81,34.3,PULSE,open,
6.750,581.80,2355.47,25.7,PULSE,open,
