t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
3.534,334.07,2282.99,1505.87,28.5,REFRACTORY,open,
3.578,291.78,2342.49,1485.40,32.5,REFRACTORY,open,
3.627,342.84,2396.11,1450.17,40.5,REFRACTORY,open,
3.675,299.67,2378.10,1418.85,43.4,REFRACTORY,open,
3.721,355.94,2349.51,1391.62,47.1,REFRACTORY,open,
3.766,329.39,2318.49,1368.43,49.8,REFRACTORY,open,
3.813,365.97,2272.43,1352.76,54.2,REFRACTORY,open,
3.862,349.04,2239.98,1345.43,56.0,REFRACTORY,open,
3.905,387.13,2194.92,1354.45,58.1,REFRACTORY,open,
3.954,403.05,2172.26,1370.30,59.8,REFRACTORY,open,
4.001,385.04,2160.05,1382.25,60.0,REFRACTORY,open,
4.047,451.09,2151.92,1346.97,59.8,REFRACTORY,open,
4.094,409.06,2153.94,1351.41,59.8,REFRACTORY,open,
4.139,473.11,2156.34,1313.50,58.7,REFRACTORY,open,
4.190,426.42,2153.15,1289.23,54.3,REFRACTORY,open,
4.289,439.06,2195.05,1227.07,48.0,REFRACTORY,open,
4.326,477.80,2194.93,1237.52,45.7,REFRACTORY,open,
4.376,456.30,2204.84,1198.47,44.3,REFRACTORY,open,
4.420,475.73,2208.61,1207.11,41.1,REFRACTORY,open,
4.467,483.71,2210.33,1169.74,40.0,REFRACTORY,open,
4.517,469.41,2219.10,1154.45,40.1,REFRACTORY,open,
4.560,500.02,2237.26,1141.06,39.6,REFRACTORY,open,
4.608,459.36,2254.09,1108.12,38.7,REFRACTORY,open,
4.653,515.34,2260.65,1126.21,39.2,REFRACTORY,open,
4.702,463.76,2275.22,1095.74,36.8,REFRACTORY,open,
4.746,518.91,2290.56,1124.52,36.4,REFRACTORY,open,
4.794,474.49,2294.36,1101.53,36.5,REFRACTORY,open,
4.846,518.03,2347.50,1110.44,32.8,REFRACTORY,open,
4.890,480.46,2365.42,1135.18,29.6,REFRACTORY,open,
4.939,492.78,2383.23,1120.35,22.9,REFRACTORY,open,
4.983,479.89,2379.12,1152.74,21.2,REFRACTORY,open,
5.033,476.16,2354.23,1130.73,19.7,REFRACTORY,open,
5.076,462.59,2325.43,1174.03,18.9,REFRACTORY,open,
5.124,446.16,2297.64,1218.32,17.7,REFRACTORY,open,
5.171,454.46,2276.05,1237.68,17.2,REFRACTORY,open,
5.221,423.92,2260.43,1244.10,15.6,IDLE,open,
5.270,443.54,2246.12,1225.77,16.2,IDLE,open,
5.313,414.71,2233.54,1236.09,14.0,IDLE,open,
5.362,435.78,2222.90,1206.01,12.5,IDLE,open,
5.407,453.69,2213.84,1229.16,8.6,IDLE,open,
5.454,456.70,2221.53,1206.18,5.7,IDLE,open,
5.502,449.22,2220.94,1211.46,5.6,IDLE,open,
5.548,441.98,2229.28,1223.07,5.8,IDLE,open,
5.596,419.33,2231.33,1221.78,6.1,IDLE,open,
5.641,410.61,2233.75,1236.65,6.1,IDLE,open,
5.691,398.31,2244.35,1241.52,6.6,IDLE,open,
5.735,363.37,2260.84,1274.63,8.9,IDLE,open,
5.783,442.75,2387.99,1336.23,57.4,PULSE,open,
5.833,835.48,2895.89,1775.36,511.7,PULSE,open,
5.870,688.38,3118.18,1737.80,452.0,PULSE,open,
5.921,817.99,2829.19,1744.81,128.0,PULSE,open,
5.969,708.95,2415.01,1720.54,83.0,PULSE,open,
6.018,911.37,2435.96,1709.30,141.9,PULSE,open,
6.062,920.07,2439.98,1910.67,217.1,PULSE,open,
6.109,1058.35,2818.94,1976.03,267.4,PULSE,open,
6.158,1256.03,3055.35,2264.41,313.8,PULSE,open,
6.201,1237.39,3270.37,2291.74,291.4,PULSE,open,
6.251,1504.15,3354.15,2373.58,238.3,PULSE,open,
6.303,1376.93,3166.42,2415.95,165.7,PULSE,open,
6.340,1627.66,2047.93,2325.35,112.0,PULSE,open,
6.390,1378.90,1454.76,1476.24,56.6,PULSE,open,
6.436,1607.72,1184.26,1268.42,25.7,PULSE,open,
6.487,1395.91,1099.47,1232.14,7.1,REFRACTORY,open,
6.529,1553.63,1071.68,1097.42,16.2,REFRACTORY,open,
6.578,1402.19,950.39,940.97,28.4,REFRACTORY,open,
6.624,1498.01,816.21,944.95,36.0,REFRACTORY,open,
6.673,1448.56,729.81,968.76,42.1,REFRACTORY,open,
6.716,1376.99,910.44,992.39,46.2,REFRACTORY,open,
6.762,1546.44,799.19,950.25,48.8,REFRACTORY,open,
6.814,1318.52,906.85,996.20,47.3,REFRACTORY,open,
6.857,1576.10,1014.72,818.38,48.5,REFRACTORY,open,
6.907,1296.91,1086.20,919.69,43.9,REFRACTORY,open,
6.952,1572.96,991.31,811.37,44.1,REFRACTORY,open,
7.000,1314.59,784.88,879.92,45.8,REFRACTORY,open,
7.045,1528.21,627.14,947.08,51.2,REFRACTORY,open,
7.093,1371.03,633.36,895.60,62.2,REFRACTORY,open,
7.143,1548.22,608.99,956.83,71.0,REFRACTORY,open,
7.188,1472.49,543.74,758.49,77.6,REFRACTORY,open,
7.238,1548.70,537.82,909.39,81.6,REFRACTORY,open,
7.275,1609.30,608.00,715.98,76.4,REFRACTORY,open,
7.331,1514.23,474.96,827.52,62.3,REFRACTORY,open,
7.369,1700.14,688.17,885.11,51.9,REFRACTORY,open,
7.423,1439.52,678.71,871.28,33.6,REFRACTORY,open,
7.473,1731.46,694.56,919.86,21.1,REFRACTORY,open,
7.515,1479.68,716.17,719.41,12.4,REFRACTORY,open,
