t_s,dtw_relaxed,dtw_close,dtw_open
10.144,1335.35,2237.30,2126.43
10.189,1414.03,2430.66,2206.49
10.239,1568.65,2202.07,2283.16
10.282,1373.20,1688.32,2355.02
10.344,1550.13,1398.74,1954.53
10.425,1719.10,849.71,1571.48
10.454,1474.89,905.68,1595.81
10.501,1538.51,954.82,1463.41
10.550,1558.94,916.57,1392.05
10.595,1448.15,957.39,1334.76
10.642,1606.77,910.20,1305.86
10.691,1377.78,876.13,1295.32
10.737,1608.62,718.00,1284.65
10.782,1292.53,572.96,1266.69
10.830,1626.89,493.17,1244.40
10.879,1288.27,481.92,1255.28
10.922,1598.02,541.97,1320.97
10.970,1366.77,595.66,1341.85
11.018,1526.81,610.30,1338.64
11.064,1428.74,730.25,1296.76
11.111,1444.61,755.82,1290.80
11.170,1382.79,631.13,1365.92
11.220,1577.87,685.67,1407.98
11.268,1572.94,951.01,1380.10
11.316,1570.99,952.26,1503.38
11.346,1774.44,868.13,1507.08
11.407,1571.40,1230.94,1676.29
11.455,1905.43,1338.88,1830.91
11.500,1697.79,1321.12,1966.24
11.548,2099.17,1367.97,2100.92
11.594,1865.57,1538.37,2264.10
11.645,2267.58,2415.85,3907.10
11.690,2076.30,4656.55,4174.28
11.736,2398.18,4245.05,3847.91
11.781,2366.44,4024.53,3539.06
11.843,2643.57,4460.71,3582.48
11.891,2467.01,4326.09,3611.10
11.934,2655.18,4417.25,3637.68
11.984,2650.72,3947.90,3408.31
12.029,2647.26,3402.49,2734.03
12.078,2785.06,2875.86,2077.07
12.122,2596.63,2567.73,1694.74
12.168,2898.46,2196.11,1328.69
12.216,2585.28,1898.76,1042.63
12.260,2880.13,1721.35,868.35
12.309,2599.94,1620.38,778.53
12.355,2870.64,1559.75,737.13
12.404,2638.89,1517.06,711.42
12.446,2830.59,1481.37,684.19
12.494,2782.42,1459.09,679.23
12.540,2761.10,1457.07,691.76
12.585,2875.34,1466.59,729.49
12.635,2727.92,1490.49,761.28
12.682,2976.18,1532.27,802.92
12.732,2739.67,1586.96,855.28
12.774,3063.57,1646.02,906.99
12.822,2792.36,1713.09,961.67
12.870,3136.61,1793.94,1018.54
12.914,2925.50,1841.15,1065.70
12.962,3118.90,1899.05,1140.08
13.009,3072.26,1981.44,1204.30
13.060,3120.12,2070.13,1255.50
13.102,3257.23,2130.15,1272.43
13.150,3156.83,2475.11,1641.58
13.198,3427.78,2786.77,1991.85
13.245,3192.72,3134.43,2397.83
13.294,3577.49,3571.11,2940.90
13.336,3310.25,3990.02,3443.83
13.387,3693.07,4424.01,3528.41
13.430,3466.66,4862.40,3503.03
13.469,3667.65,5119.53,3463.82
13.526,3649.78,4981.94,3400.85
13.572,3777.56,4853.77,3314.71
13.621,3854.62,4671.91,3203.80
13.666,3811.23,4411.88,3084.87
13.717,4033.01,4161.32,2947.77
13.759,3720.50,3990.49,2826.62
13.806,3693.40,3816.37,2714.16
13.854,3565.73,3606.74,2596.62
13.900,3546.93,3387.81,2495.18
13.949,3575.78,3177.10,2359.53
13.994,3565.97,3004.98,2187.41
14.044,3525.71,2858.93,2041.74
14.087,3427.79,2705.98,1897.06
14.134,3373.38,2600.76,1822.43
14.182,3295.88,2537.70,1780.26
14.224,3244.84,2470.78,1682.49
14.275,3206.71,2453.87,1683.64
14.319,3175.97,2433.81,1665.88
14.369,3163.13,2503.67,1671.02
14.413,3154.12,2458.15,1558.84
14.458,3159.42,2412.94,1504.67
14.507,3151.72,2409.77,1487.19
14.550,3169.22,2407.53,1510.84
14.599,3164.73,2469.11,1603.92
14.647,3187.90,2610.42,1785.65
14.697,3180.89,2813.51,2035.69
14.739,3198.08,2885.41,2093.82
14.786,3202.40,2966.67,2190.44
14.835,3217.35,2973.18,2193.20
14.881,3266.47,2958.88,2173.35
14.928,3228.26,2925.84,2154.17
14.974,3252.62,2864.51,2099.47
15.024,3157.22,2899.67,2186.02
15.066,3189.20,2968.78,2263.33
15.114,3188.94,3147.14,2515.67
15.162,3227.00,3296.11,2547.75
15.209,3201.21,3488.15,2517.34
15.257,3195.85,3595.02,2473.71
15.306,3175.45,3725.79,2429.06
15.351,3128.84,3712.39,2368.28
15.428,3028.78,3668.89,2276.13
15.460,3014.25,3642.10,2215.54
15.502,2965.92,3603.02,2139.18
15.551,2868.46,3564.80,2064.86
15.598,2817.88,3518.92,1974.20
15.644,2699.87,3466.47,1893.13
15.692,2644.94,3413.63,1808.61
15.737,2513.75,3365.35,1738.21
15.787,2459.92,3316.26,1657.24
15.830,2342.09,3266.26,1580.83
15.878,2274.23,3221.07,1503.13
15.927,2194.96,3181.59,1421.75
15.972,2115.58,3151.76,1348.47
16.021,2068.95,3126.22,1264.73
16.066,1997.89,3106.79,1195.52
16.116,2009.47,3096.52,1135.04
16.160,1936.57,3088.44,1076.18
16.208,1979.51,3081.28,1019.98
16.256,1912.91,3078.55,965.18
16.301,1971.14,3076.56,927.22
16.349,1979.32,3069.39,884.88
16.394,2006.17,3057.95,826.59
16.444,1989.17,3056.78,794.41
16.487,2010.50,3056.80,762.07
16.532,2004.90,3062.44,740.85
16.582,2013.38,3070.41,724.65
16.627,2015.35,3040.65,707.89
16.676,2011.37,3011.60,696.12
16.722,2018.48,2982.40,693.70
16.772,1990.85,2960.49,685.71
16.816,1990.50,2929.33,680.85
16.863,1953.09,2911.02,677.85
16.912,1950.82,2888.47,655.74
16.956,1890.36,2872.25,645.40
17.005,1907.35,2860.47,747.25
17.052,1841.98,2853.88,758.03
17.102,1857.95,2821.66,733.90
17.145,1803.24,2801.31,710.43
17.191,1787.20,2788.18,695.66
17.240,1740.98,2778.63,679.44
